frame_id,time_seconds,joint0,joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12,joint13,joint14,joint15,joint16,joint17,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,F_hand,F_foot,hand_stress,foot_stress
60,2.002,"(343, 281)","(343, 352)","(383, 375)","(436, 375)","(475, 328)","(304, 352)","(251, 281)","(237, 258)","(356, 493)","(409, 516)","(409, 610)","(317, 493)","(277, 540)","(290, 610)","(383, 305)","(343, 281)","(370, 352)","(330, 328)",0.0,2.2120401030791905,-2.263438170004201,0.09445493539504657,1.9802335363210393,2.436481305475361,1.9802335363210393,2.252858979306081,169.83374256094973,418.76625743905026,16983.374256094972,41876.625743905024
65,2.1688333333333336,"(343, 281)","(370, 328)","(396, 352)","(436, 375)","(462, 328)","(330, 328)","(277, 305)","(251, 258)","(383, 469)","(409, 516)","(409, 586)","(330, 469)","(277, 516)","(304, 610)","(383, 305)","(343, 281)","(396, 305)","(356, 305)",0.5218342798144104,2.7321554440636504,-1.5542522350798809,0.6560689291693591,2.636302465490399,2.296266335071137,2.636302465490399,2.0165621826075064,168.5267540453845,420.0732459546155,16852.67540453845,42007.32459546155
70,2.3356666666666666,"(343, 281)","(383, 305)","(409, 305)","(462, 305)","(489, 305)","(343, 281)","(290, 281)","(251, 281)","(396, 422)","(422, 516)","(422, 610)","(356, 422)","(317, 516)","(290, 586)","(383, 305)","(343, 281)","(396, 281)","(370, 258)",0.0,0.0,0.0,0.0,2.871743497651324,2.7483132485358963,2.871743497651324,-0.025148633728733216,15.586914110739997,573.0130858892601,1558.6914110739997,57301.308588926004
75,2.5025,"(343, 281)","(383, 281)","(422, 258)","(475, 211)","(462, 140)","(343, 281)","(290, 281)","(251, 258)","(409, 399)","(422, 516)","(436, 610)","(370, 422)","(317, 493)","(290, 586)","(383, 305)","(343, 281)","(409, 234)","(370, 258)",2.416122645313553,0.0,1.026418975049875,-2.6087487659704043,3.0309354324158972,2.500348877305499,0.03719214408485971,-0.35868882381470657,139.34893654663938,449.25106345336064,13934.893654663938,44925.10634533606
80,2.6693333333333333,"(343, 281)","(370, 281)","(409, 281)","(449, 234)","(462, 164)","(343, 281)","(290, 281)","(251, 281)","(409, 422)","(422, 516)","(422, 610)","(356, 422)","(317, 516)","(290, 586)","(383, 305)","(343, 281)","(396, 258)","(356, 258)",2.2759076749093285,0.0,0.5214890219451518,0.0,3.00416650809285,2.7483132485358963,3.00416650809285,-0.025148633728733216,-0.6162667369050763,589.2162667369051,-61.62667369050762,58921.626673690516
85,2.8361666666666667,"(343, 281)","(370, 281)","(409, 281)","(462, 234)","(462, 140)","(330, 281)","(277, 281)","(237, 258)","(396, 422)","(409, 516)","(422, 610)","(356, 422)","(290, 493)","(290, 586)","(383, 305)","(343, 281)","(383, 258)","(343, 258)",2.416122645313553,0.0,0.8453263185186564,-2.6197583737753827,3.00416650809285,2.3926746493152944,0.0,2.3926746493152944,290.2801990169769,298.31980098302313,29028.019901697688,29831.980098302312
90,3.003,"(343, 281)","(356, 281)","(396, 281)","(462, 234)","(462, 140)","(330, 281)","(264, 305)","(237, 258)","(396, 422)","(409, 493)","(422, 610)","(343, 422)","(290, 493)","(290, 610)","(383, 305)","(343, 281)","(370, 258)","(343, 258)",2.5227778868521082,0.34877100358390667,0.9519815600572117,-1.7434597629827335,2.9604999970585744,2.500348877305499,-0.07043543535732288,2.500348877305499,272.9096893925413,315.69031060745874,27290.968939254126,31569.031060745874
95,3.1698333333333335,"(343, 281)","(356, 281)","(396, 281)","(449, 211)","(462, 164)","(317, 281)","(251, 281)","(264, 211)","(383, 399)","(409, 493)","(422, 586)","(343, 422)","(277, 493)","(290, 586)","(383, 305)","(343, 281)","(356, 258)","(330, 258)",2.218853212725411,0.0,0.378207729992045,-1.3871740006256166,2.871743497651324,2.3926746493152944,-0.13096414041825621,2.2537896337950816,255.17993576856554,333.4200642314345,25517.993576856552,33342.006423143444
100,3.3366666666666664,"(343, 281)","(356, 281)","(396, 281)","(449, 234)","(462, 164)","(317, 281)","(251, 281)","(251, 211)","(383, 422)","(409, 493)","(422, 610)","(343, 422)","(264, 469)","(290, 610)","(383, 305)","(343, 281)","(356, 258)","(330, 258)",2.416122645313553,0.0,0.6617039923493762,-1.5707963267948966,2.790561766847373,2.107484501098822,-0.24037366556852424,1.9251356852128565,324.5117517337345,264.0882482662655,32451.17517337345,26408.82482662655
105,3.5035,"(343, 281)","(356, 281)","(396, 281)","(449, 211)","(462, 164)","(330, 305)","(277, 305)","(237, 258)","(383, 422)","(409, 516)","(409, 610)","(343, 422)","(264, 469)","(304, 563)","(383, 305)","(317, 258)","(370, 258)","(330, 258)",2.218853212725411,0.0,0.378207729992045,-2.2759076749093285,2.871743497651324,2.107484501098822,2.871743497651324,1.7051634032383811,250.30038628319394,338.2996137168061,25030.038628319395,33829.96137168061
110,3.6703333333333337,"(330, 281)","(370, 281)","(396, 281)","(449, 234)","(462, 164)","(330, 281)","(277, 305)","(251, 281)","(396, 422)","(422, 516)","(422, 586)","(356, 422)","(264, 469)","(317, 540)","(383, 305)","(330, 258)","(370, 258)","(330, 258)",2.416122645313553,0.42520501897961793,0.6617039923493762,-1.9709681583360172,2.871743497651324,2.0431017281254498,2.871743497651324,1.4018579518411558,222.1660722068898,366.43392779311023,22216.60722068898,36643.39277931102
115,3.8371666666666666,"(330, 281)","(370, 281)","(409, 281)","(449, 234)","(462, 164)","(343, 305)","(290, 281)","(251, 281)","(409, 422)","(422, 516)","(422, 586)","(370, 422)","(317, 469)","(330, 540)","(383, 305)","(330, 258)","(370, 258)","(343, 258)",2.2759076749093285,2.716387634610175,0.5214890219451518,2.716387634610175,3.00416650809285,2.296266335071137,3.00416650809285,2.1151736785399184,277.1412456161915,311.4587543838085,27714.124561619148,31145.875438380852
120,4.004,"(330, 281)","(383, 281)","(409, 281)","(449, 211)","(462, 164)","(343, 305)","(290, 305)","(251, 281)","(422, 422)","(422, 516)","(436, 586)","(383, 422)","(356, 516)","(330, 540)","(383, 305)","(330, 258)","(370, 258)","(343, 258)",2.0899424410414196,0.0,0.24929695830805376,-2.5899376710612465,0.0,2.8618885011261623,-2.9441970937399122,0.5456726980571078,-131.84377070584017,720.4437707058402,-13184.377070584016,72044.37707058401
